level,key,title,parent_key,requirement_id,priority,platform,owner_seat,section
task,A11Y-5,Touch targets meet the minimum; rating is one control,FT-A11Y-3,A11Y-5,BLOCKING,both,engineer,15
task,A11Y-9,Honour Reduce Motion with cross-fade alternatives,FT-A11Y-3,A11Y-9,MUST,both,engineer,15
feature,FT-A11Y-4,Per-release accessibility gate,EP-A11Y,,,,qa,15
task,A11Y-10,Accessibility checklist as a per-release QA gate,FT-A11Y-4,A11Y-10,BLOCKING,both,qa,15
epic,EP-PLAT,"Platform, storefront and release",,,,,cto,16
feature,FT-PLAT-1,React Native app shell on iOS 26+ and Android,EP-PLAT,,,,cto,16
task,PLAT-1,"iOS and Android at launch: Expo, native capture modules",FT-PLAT-1,PLAT-1,BLOCKING,both,cto,16
task,PLAT-8,Minimum iOS version is iOS 26,FT-PLAT-1,PLAT-8,BLOCKING,ios,engineer,16
feature,FT-PLAT-2,Store release readiness and schedule,EP-PLAT,,,,pm-ba,16;16.1
task,PLAT-3,Plan Play production access as a schedule item,FT-PLAT-2,PLAT-3,MUST,android,pm-ba,16
task,PLAT-4,Model calendar waiting time separately from effort,FT-PLAT-2,PLAT-4,MUST,none,pm-ba,16
task,PLAT-5,Choose and record the storefront before submission,FT-PLAT-2,PLAT-5,BLOCKING,none,ceo,16.1
feature,FT-PLAT-3,"Name, icon and support statement before launch",EP-PLAT,,,,cgo,16
task,PLAT-2,No five-year support commitment; no support date published,FT-PLAT-3,PLAT-2,BLOCKING,none,cgo,16
task,PLAT-6,"Pass three name checks before ""Haunts"" goes public",FT-PLAT-3,PLAT-6,BLOCKING,none,cgo,16
task,PLAT-7,App icon and in-image mark exist before launch,FT-PLAT-3,PLAT-7,BLOCKING,both,ux-lead,16
epic,EP-PLAN,Build planning and spikes,,,,,cto,22
feature,FT-PLAN-1,Block lifts owed before build,EP-PLAN,,,,cto,4;7.7.7
task,SPK-01,CTO confirms Block 4 limb (b) lifts against 7.7.7,FT-PLAN-1,,BLOCKING,none,cto,7.7.7
task,SPK-02,Android device-matrix spike (CTO Block 2); writes CAP-11..14,FT-PLAN-1,,BLOCKING,android,cto,4
feature,FT-PLAN-2,Platform and device questions,EP-PLAN,,,,cto,22
task,SPK-03,Set the Android minimum version,FT-PLAN-2,,BLOCKING,android,cto,22
task,SPK-05,Check RN reduce-motion reads Android Remove animations,FT-PLAN-2,,BLOCKING,android,engineer,22
task,SPK-07,Answer: does a local notification need authorization?,FT-PLAN-2,,BLOCKING,both,engineer,22
task,SPK-10,"Store trial mechanism question; decides ENT-10, ENT-15..17",FT-PLAN-2,,BLOCKING,both,cto,22
task,SPK-14,Can an app relinquish its own location authorization?,FT-PLAN-2,,BLOCKING,both,engineer,22
feature,FT-PLAN-3,Architecture and security choices,EP-PLAN,,,,cto,12.1;12.2.7;22
task,SPK-04,Heatmap render test on two phones; frame-time bar set first,FT-PLAN-3,,MUST,both,cto,22
task,SPK-06,"Choose the backup KDF, parameters and dependency",FT-PLAN-3,,BLOCKING,none,cso,22
task,SPK-11,Photos C-1: durable reference without full library access,FT-PLAN-3,,BLOCKING,both,cto,12.2.7
task,SPK-12,"Backup architecture branch: user file only, or cloud module",FT-PLAN-3,,BLOCKING,both,cto,12.1
task,SPK-13,Name the competitor export formats DATA-15 imports,FT-PLAN-3,,MUST,none,cto,22
feature,FT-PLAN-4,Sizing and costing of scope outside the estimate,EP-PLAN,,,,cto,22
task,SPK-08,"Size scope outside the 2,090 h (HEAD, PHOTO, LOOK-8/9, heatmap)",FT-PLAN-4,,MUST,none,cto,22
task,SPK-09,Re-cost the build once the CTO sizing lands,FT-PLAN-4,,MUST,none,cfo,22
